name1,nam2,money_1,money_2,result
1,30,4.43,0.3365,1
1,61,5.86,0.74,1
1,24,5.22,0.4785,1
1,28,3.64,1.11,1
1,82,4.42,0.0582,1
1,44,4.29,0.5785,0
1,3,4.44,3.7,0
1,17,4.97,1.67,1
1,14,4.035,1.97,1
1,17,4.97,1.67,0
1,57,3.61,0.1775,1
1,23,3.12,0.29,1
1,29,3.56,0.391,1
1,3,4.08,3.64,-1
1,23,4.08,0.29,1
1,29,5.15,0.297,1
1,44,4.45,0.56,0
1,17,4.75,2.26,1
1,23,4.63,0.331,1
1,57,4.63,0.102,1
1,47,4.75,0.602,1
1,44,4.75,0.4,1
21,42,1.95,2.72,1
21,25,2.44,1.22,1
21,63,1.11,0.724,0
21,25,1.51,0.69,1
21,63,1.6,0.782,1
21,42,1.81,2.5,-1
21,10,1.85,1.76,-1
21,36,1.59,0.605,1
21,9,2.17,3.92,1
21,50,0.835,0.064,1
21,123,2.34,0.064,1
21,92,2.44,0.1685,1
21,50,1.72,0.064,1
21,24,0.577,0.59,-1
21,64,0.428,0.09,0
21,123,1.5,0.04,1
21,9,2.47,4.4,0
21,49,1.54,0.41,1
15,35,1.29,1.45,1
15,7,1.5,3.72,1
15,9,1.56,4.13,1
15,7,1.13,3.22,-1
15,9,1.04,3.92,-1
15,35,1.45,1.08,-1
15,107,1.25,0.55,0
15,72,1.13,0.103,1
15,6,1.33,4.19,0
15,144,1.25,0.035,1
15,59,1.27,0.3,1
15,59,1.14,0.3,0
15,6,1.45,4.25,0
15,52,1.27,0.73,1
15,7,1.45,3.45,0
15,4,1.55,4.67,0
15,45,1.55,1.55,1
15,6,1.43,4.19,-1
15,19,1.26,0.6,0
15,196,1.08,0.015,1
15,16,1.25,1.37,1
15,56,1.15,0.42,1
15,144,1.25,0.04,1
15,72,1.24,0.11,1
43,64,0.669,0.574,0
43,28,0.665,1.23,-1
43,77,0.653,0.173,-1
43,141,0.869,0.01,1
43,37,0.522,0.988,1
43,37,0.522,0.988,1
43,37,0.62,1.01,-1
43,54,0.504,0.665,0
43,39,0.89,1.27,0
43,126,0.89,0.28,1
43,129,0.91,0.062,1
43,71,0.89,0.092,0
43,138,0.91,0.0118,1
43,54,0.88,0.302,1
43,48,0.86,1.62,1
43,124,0.856,0.055,1
43,114,0.85,0.32,1
43,114,0.74,0.32,1
43,48,0.68,1.54,-1
43,124,0.85,0.05,1
43,32,0.85,1.11,0
43,32,0.8,1.05,1
43,137,0.75,0.025,1
50,66,0.12,0.68,1
50,29,0.1352,0.264,0
50,41,0.1258,1.41,-1
50,63,0.1012,0.854,0
50,72,0.1045,0.1105,1
50,39,0.1065,0.161,0
50,37,0.1285,0.2118,-1
50,70,0.1285,0.738,1
50,68,0.128,0.05,1
50,75,0.1325,0.025,1
50,85,0.1115,0.05,1
50,123,0.1425,0.08,0
50,21,0.135,0.835,-1
50,49,0.135,0.489,-1
50,9,0.165,2.58,-1
50,92,0.135,0.229,0
50,16,0.14,1.1,-1
50,74,0.135,0.0335,1
50,80,0.12,0.05,1
50,60,0.105,0.1138,0
50,75,0.125,0.0392,1
44,68,0.3745,0.05,0
44,24,0.912,0.386,0
44,51,0.8875,0.1168,0
44,71,0.5965,0.0452,1
44,13,0.6485,0.735,0
44,32,0.5825,1.55,1
44,3,0.565,2.31,0
44,47,0.511,0.548,-1
44,23,0.571,0.376,0
44,1,0.5785,4.29,0
44,74,0.1935,0.05,0
44,29,0.4645,0.4225,1
44,57,0.3175,0.2055,1
44,13,0.315,0.233,1
44,17,0.305,1.34,1
44,57,0.3175,0.245,0
44,82,0.3485,0.0525,1
44,14,0.425,1.98,-1
44,82,0.35,0.06,1
44,1,0.29,3.65,-1
44,23,0.36,0.376,-1
8,2,2.32,2.47,1
8,26,3.39,1.72,1
8,19,2.54,0.9885,1
8,26,2.58,1.37,0
8,19,2.341,0.9335,1
8,2,3.07,2.64,1
8,11,3.54,4.24,0
8,10,3.62,1.66,1
8,42,3.88,0.997,1
8,69,3.83,0.4202,0
8,45,3.75,1.88,1
8,42,3.5,0.8,0
8,35,3.05,1.63,-1
8,27,2.85,0.615,1
8,40,2.9,1.99,0
8,45,3.8,1.5,-1
5,11,6.16,4.74,0
5,6,6.44,2.99,-1
5,36,5.18,0.728,-1
5,6,5.85,2.98,0
5,11,5.86,4.03,0
5,36,5.72,0.828,-1
5,48,5.31,1.57,1
5,15,4.72,1.23,1
5,66,5.66,0.6205,1
5,36,5.25,0.85,0
5,26,5.8,1.65,0
5,10,6.3,1.79,1
5,27,5.7,1.61,1
5,11,5.9,4.5,1
5,35,5.2,0.85,1
5,40,5.5,1.8,0
5,12,5.7,1.65,1
5,34,5.9,1.2,1
19,27,0.87,1.61,1
19,34,0.953,2.04,1
5,11,6.16,4.74,0
5,6,6.44,2.99,-1
5,48,5.31,1.57,1
5,15,4.72,1.23,1
5,11,5.86,4.03,0
